排名,标题,分数,播放量,弹幕数,Up主,UpID,URL
1,【老番茄】史上最憨训练师(大结局),"5673774综合得分
          ",370.9万,9.4万,老番茄,546195,https://www.bilibili.com/video/av90501130
2,【才浅制作】手工是有极限的 除非超越手工 善逸雷刃极致还原,"5665794综合得分
          ",185.1万,4.5万,才疏学浅的才浅,2200736,https://www.bilibili.com/video/av90269539
3,【师 生 对 线】这网课上得就尼玛离谱！,"4330304综合得分
          ",306.2万,1.8万,鹤吱菌,3353026,https://www.bilibili.com/video/av90748215
4,受够了，我真的不行了。好想逃。,"4247830综合得分
          ",275.4万,1.2万,浅葱喵asagiinyo,312679910,https://www.bilibili.com/video/av90362224
5,B 站 现 状,"4246461综合得分
          ",509.0万,5.9万,落桑西,10289240,https://www.bilibili.com/video/av90609023
6,靠谱盘点73：公开处刑！嫖老师直播重温一炮四个PDD！G2，欧洲滴神！,"2691847综合得分
          ",188.2万,1.8万,靠谱电竞,279991456,https://www.bilibili.com/video/av90720842
7,【 钉 钉 本 钉 ，在 线 求 饶 】,"2523430综合得分
          ",278.9万,3.9万,钉钉DingTalk,481393564,https://www.bilibili.com/video/av89441613
8,【 五 星 分 期 ，下 次 一 钉 】,"2403826综合得分
          ",156.7万,8198,池年,2341174,https://www.bilibili.com/video/av90164987
9,奇…奇怪的知识增加了!!,"2244549综合得分
          ",146.1万,4521,-柠萌菌-,124735327,https://www.bilibili.com/video/av90525290
10,验证！日本秘术3秒解决脖子酸痛？一女子尝试后说....,"2231470综合得分
          ",75.5万,5345,纳豆奶奶,6574487,https://www.bilibili.com/video/av90287397
11,坐稳扶好，10秒后让你投币！,"2058453综合得分
          ",107.5万,5046,-影子a,105902820,https://www.bilibili.com/video/av89926476
12,【懂点儿啥31】台湾节目点名对线观察者网，我们笑出来了辣！,"2044438综合得分
          ",191.7万,6.2万,观察者网,10330740,https://www.bilibili.com/video/av90748352
13,如何拯救你的C盘：Windows深度清理指南,"2024686综合得分
          ",35.9万,1106,飞鱼不在天,17873487,https://www.bilibili.com/video/av89947215
14,别再做电饭锅抖臀蛋糕啦！绵软香醇零失败的香香小蛋糕你值得拥有~,"1959181综合得分
          ",72.4万,2263,二喵的饭,29329085,https://www.bilibili.com/video/av90750256
15,处 处 零,"1896631综合得分
          ",81.4万,8217,翘课迟到,232236,https://www.bilibili.com/video/av89558467
16,亲爱的娃娃们：我是济公爷爷游本昌，今天我入驻B站啦 ！,"1846354综合得分
          ",125.5万,2.9万,济公爷爷_游本昌,346353480,https://www.bilibili.com/video/av90880253
17,当不能出门的UP 玩起了《我的世界》,"1836819综合得分
          ",109.5万,5.7万,花少北丶,2206456,https://www.bilibili.com/video/av90578764
18,2020年初电脑配件和配置单推荐,"1755176综合得分
          ",52.2万,7220,喵喵折App,338748561,https://www.bilibili.com/video/av90534559
19,上网课时，老师与卢本伟的对话                         笑抽了 O(∩_∩)O哈哈~,"1747735综合得分
          ",247.9万,6207,Kiyohime乾鲲,407529648,https://www.bilibili.com/video/av89657065
20,【敖厂长】这款日本人开发的GTA酷炫炸裂（分P警告）,"1734428综合得分
          ",176.0万,2.1万,敖厂长,122879,https://www.bilibili.com/video/av90621340
21,【 处 处 磕 】——当你磕上一对CP，万水千山皆为爱情,"1717454综合得分
          ",51.8万,6.3万,夏木樱。,1622248,https://www.bilibili.com/video/av90498007
22,让粉丝只押韵接歌词，做出了一首要素过多的歌！,"1693586综合得分
          ",67.5万,9562,Crazy_Bucket,66606350,https://www.bilibili.com/video/av90204246
23,我爱妈妈，但我不想成为妈妈！不生孩子是我自私吗？,"1682972综合得分
          ",72.7万,5121,vivi可爱多,16206007,https://www.bilibili.com/video/av90382831
24,妈见打！绝活！在卫生纸上画99位《王者荣耀》英雄,"1682230综合得分
          ",86.4万,1.0万,李青仪,4379633,https://www.bilibili.com/video/av90564967
25,简单高效学生党瘦胳膊运动｜每天5分钟，亲测一周见效！去拜拜肉，消副乳｜无器械，无需场地，站着做瘦手臂操！,"1668549综合得分
          ",20.6万,829,韩小四April,369750017,https://www.bilibili.com/video/av90866754
26,求求了点进来吧，温柔继续在战斗，可豫章书院的热度就快没有了！,"1641210综合得分
          ",100.9万,6836,幸福4375-,338882684,https://www.bilibili.com/video/av90468947
27,前方极度助眠！,"1625955综合得分
          ",49.6万,2037,夜ヾ゜,284393777,https://www.bilibili.com/video/av85576992
28,10分钟改善斜方肌粗大、溜肩圆肩富贵包、背厚、肩颈背疼痛、高低肩！【周六野Zoey】,"1622678综合得分
          ",69.7万,8931,周六野Zoey,62540916,https://www.bilibili.com/video/av34107674
29,【粤配】广 东 的 士 (文明出租车）,"1606144综合得分
          ",90.5万,3076,钓钩钧XJ,3633594,https://www.bilibili.com/video/av90628018
30,看完后，你们就懂日本女生的痛苦了！,"1600365综合得分
          ",195.6万,1.9万,鲁过一世,1791101,https://www.bilibili.com/video/av89978202
31,暗恋的妹子在网课上看片被抓之后……,"1548407综合得分
          ",142.9万,1.7万,凉风Kaze,14110780,https://www.bilibili.com/video/av90950163
32,【更新1p，告别蝴蝶袖】美丽芭蕾 天鹅臂 累断手,"1496047综合得分
          ",88.9万,1.7万,废柴家里蹲,3751951,https://www.bilibili.com/video/av3534854
33,小妹妹我有一个弟弟...算了，他不配！！！,"1486651综合得分
          ",110.7万,6121,津木菌,278767626,https://www.bilibili.com/video/av90398048
34,官方正式回复！韩红被举报事件，这次你还有什么话说？来让你感受一下祖安文豪的热情,"1463380综合得分
          ",146.8万,1.9万,唯一讲述者,278761367,https://www.bilibili.com/video/av90599303
35,女团腿 去头尾 自用,"1453231综合得分
          ",63.4万,3976,木马唧唧,248404676,https://www.bilibili.com/video/av70455264
36,执行死刑为何大快人心？恶贯满盈的孙小果究竟多可怕？【普法三分钟】,"1437109综合得分
          ",220.4万,10.9万,一个凡老师,1440295,https://www.bilibili.com/video/av90503363
37,如果这都不算爱,"1340499综合得分
          ",54.2万,2046,枫泽雨畔,130130236,https://www.bilibili.com/video/av90252781
38,【半佛】温 柔 钉 钉，在 线 暴 打,"1314084综合得分
          ",78.3万,9073,硬核的半佛仙人,37663924,https://www.bilibili.com/video/av90158862
39,众所周知 腿越细踢人越疼 手臂越细 打人越疼 你们老婆打架真厉害,"1274069综合得分
          ",68.7万,1109,潇生有礼了,198395647,https://www.bilibili.com/video/av90299574
40,偷偷在门背后贴满图钉和气球，女朋友开门之后...,"1226243综合得分
          ",216.7万,2.1万,雨哥到处跑,147166910,https://www.bilibili.com/video/av90607539
41,细思极恐的心理恐怖游戏，感觉自己变成了马戏团的猴子,"1220598综合得分
          ",132.1万,7.2万,中国BOY超级大猩猩,562197,https://www.bilibili.com/video/av90880181
42,在家开街边烧烤店，10元一串卖给弟弟，血赚142块！,"1209947综合得分
          ",107.5万,1.4万,盗月社食遇记,99157282,https://www.bilibili.com/video/av90643955
43,【床上全身燃脂跟练】5分钟瘦腿瘦胳膊减肚腩练翘臀，拒绝宅家做咸鱼,"1187693综合得分
          ",31.8万,2530,叫我tina小姐姐,265578856,https://www.bilibili.com/video/av90111643
44,B站原名不叫bilibili？那些颠覆你三观的“B站冷知识”！,"1172808综合得分
          ",58.5万,1.4万,知心者联盟,390371228,https://www.bilibili.com/video/av90557234
45,【俄语翻唱】喀秋莎・Катюша【神楽七奈】少女与战车版,"1154745综合得分
          ",56.3万,4620,神楽七奈Official,386900246,https://www.bilibili.com/video/av90311267
46,群主被迫女装COS莲华？！ 群员都说好——视角姬vlog,"1148625综合得分
          ",67.0万,1.5万,视角姬,52250,https://www.bilibili.com/video/av91007943
47,为了拍视频，美食up在日本狂吃一整天，工伤长胖不敢上称,"1143417综合得分
          ",121.4万,5263,绵羊料理,18202105,https://www.bilibili.com/video/av90629382
48,【老E】太阳爆炸！被黑洞吞噬是一种什么样的体验,"1133629综合得分
          ",34.6万,3339,EdmundDZhang,433351,https://www.bilibili.com/video/av91152928
49,赌 怪（完整版）,"1128444综合得分
          ",44.3万,1.6万,刘泽秀V,21951780,https://www.bilibili.com/video/av89058944
50,【处处吻】 愣着干嘛 进来白嫖啊,"1128298综合得分
          ",55.9万,1422,一本正经的小方,400413571,https://www.bilibili.com/video/av82766716
51,卖 身 葬 父,"1125799综合得分
          ",57.9万,2406,哦呼w,59905809,https://www.bilibili.com/video/av90869165
52,瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,"1123603综合得分
          ",53.9万,1.3万,普鲁士ll,2993682,https://www.bilibili.com/video/av50314054
53,为了通关这个游戏！我已经扔了几台电脑了！,"1114217综合得分
          ",69.8万,2.3万,与山0v0,26240675,https://www.bilibili.com/video/av90502965
54,【本色出演】津  门  祖  安  出  租  人,"1108407综合得分
          ",62.3万,1546,善良的诚哥,1835967,https://www.bilibili.com/video/av88994230
55,琴 亭 湖 救 援,"1096662综合得分
          ",63.9万,3931,爱吃烧烤的西瓜瓜,45949267,https://www.bilibili.com/video/av90424676
56,每天一遍，身强体健,"1089458综合得分
          ",102.8万,2121,布洛芬丶,312772023,https://www.bilibili.com/video/av90674001
57,拜拜鸡皮肤！洗澡护肤3步法教你变身白嫩光滑肌仙女！【槿酱】,"1088203综合得分
          ",32.3万,1751,槿酱吃不胖,9275129,https://www.bilibili.com/video/av90842582
58,【小仙若】Thumbs Up❤愿意跟这样的姐姐一起蹦迪吗？,"1066723综合得分
          ",78.0万,2373,一只小仙若,16539048,https://www.bilibili.com/video/av90858476
59,震惊！兵哥把农家土猫训练成了特种军猫，是你一辈子难得一见的猫片。,"1058470综合得分
          ",68.8万,2465,老兵和大黄,345496332,https://www.bilibili.com/video/av89347779
60,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,"1056977综合得分
          ",45.8万,1.0万,带枪小女孩weibo,1960460,https://www.bilibili.com/video/av22227629
61,【请勿模仿】小伙取出108颗烈酒巧克力的酒心，一口闷后当场失去意识,"1051096综合得分
          ",64.0万,9610,李米坨,481715931,https://www.bilibili.com/video/av90982491
62,【绘图故事】使劲用力嘴部集中【反犬】,"1042302综合得分
          ",31.7万,4149,反犬TDog,132704,https://www.bilibili.com/video/av90756891
63,你 钉 起 来 真 好 听,"1041786综合得分
          ",67.1万,2947,白夜长路deep丶,270308437,https://www.bilibili.com/video/av88651718
64,我拼了命，才能拥有他们曾经拥有的女孩。,"1022679综合得分
          ",79.1万,1492,大卤鸡不是大肥鸡,224689611,https://www.bilibili.com/video/av85817069
65,当记者问，特警小哥哥，鸡笼警告的意思？？笑疯了！【刘曦钧混剪】,"1016742综合得分
          ",74.2万,6397,若浪云溪,11453832,https://www.bilibili.com/video/av90464973
66,【周淑怡rap】巴 黎 剩 母,"1013650综合得分
          ",87.5万,2400,小锅er,121929490,https://www.bilibili.com/video/av89659794
67,外国留学生up主，曝光洋垃圾在中国的所作所为P1,"1012063综合得分
          ",72.6万,5570,PopMatta,389988163,https://www.bilibili.com/video/av90314962
68,【基德】我查清了4千亿蝗虫消失的真相，并且告诉你不会来中国,"1006925综合得分
          ",78.1万,4303,吟游诗人基德,510856133,https://www.bilibili.com/video/av90215906
69,【拟人向】四  大  校  霸,"997540综合得分
          ",49.5万,5046,清流半夭,290875214,https://www.bilibili.com/video/av90671873
70,自制“无骨凤爪”，没有骨头的鸡爪，一口一个，吃一盆都不过瘾,"996931综合得分
          ",162.9万,1.4万,翔翔大作战,196356191,https://www.bilibili.com/video/av90868375
71,这TM就是辱骂法官的下场！！！,"993350综合得分
          ",147.0万,2150,逗比的雀巢,5294454,https://www.bilibili.com/video/av90311566
72,色欲和性欲消失了！,"984381综合得分
          ",108.6万,9603,K10今天没有鸽,20750823,https://www.bilibili.com/video/av90249088
73,利用群众的善心诈骗捐款，花了40个小时让他接受社会的毒打,"978585综合得分
          ",42.5万,2741,武汉九歌,443035975,https://www.bilibili.com/video/av90427748
74,【超级小桀】939条命 ！5个小时！我怎么都要过这关！,"968339综合得分
          ",40.6万,2.3万,超级小桀的日常,29440965,https://www.bilibili.com/video/av90922667
75,【建议改成】使 命 召 唤 1 6,"957308综合得分
          ",44.9万,1449,乔战狂,294518840,https://www.bilibili.com/video/av89983339
76,用AI把24帧动画补到超清60帧，突破次元壁！丝滑流畅……,"937468综合得分
          ",60.1万,5165,极客湾Geekerwan,25876945,https://www.bilibili.com/video/av90209995
77,当 前 老 师 网 课 现 状,"932450综合得分
          ",31.5万,2110,凯玟桑,120586,https://www.bilibili.com/video/av90824584
78,为什么这种东西会在我卡组里【水无月菌】,"930246综合得分
          ",81.3万,2379,水无月菌,1958342,https://www.bilibili.com/video/av90883859
79,赋 天 族 种,"922966综合得分
          ",73.7万,2724,四只辣翅,17922753,https://www.bilibili.com/video/av90393221
80,我们，鬼畜区，向冠状病毒宣战！,"916602综合得分
          ",34.1万,7515,无尽の零,305214791,https://www.bilibili.com/video/av86158890
81,当我笑的那一刻，请自备纸巾！,"913872综合得分
          ",45.9万,3645,恶灵暮,454911170,https://www.bilibili.com/video/av89344037
82,《浪子回头》 为什么一首歌会这么费烟又费酒【突然听懂】,"908860综合得分
          ",52.8万,1454,喵不磕盐,25577746,https://www.bilibili.com/video/av90226325
83,以身试毒！84和酒精混合竟然真的能产生氯气！,"907537综合得分
          ",52.5万,7095,毕导THU,254463269,https://www.bilibili.com/video/av90402527
84,小伙自制创新菜“咖喱乡巴佬排骨”浓香四溢，再来一盘也能吃完,"907466综合得分
          ",111.0万,1.9万,记录生活的蛋黄派,337521240,https://www.bilibili.com/video/av90546323
85,这 TM 才叫 无 缝 衔 接 ！！！,"900246综合得分
          ",36.9万,1623,一颗糖糖゛,36117352,https://www.bilibili.com/video/av90782208
86,【干货】良心UP分享私单经验流程及接单建议，望大家开始新的征途，新的挑战。,"887884综合得分
          ",22.3万,261,SuidMan,254571940,https://www.bilibili.com/video/av90425800
87,【游戏侦查冰】我采访了国内游戏圈资历最老的行业大佬,"886826综合得分
          ",30.5万,4571,芒果冰OL,617285,https://www.bilibili.com/video/av91031500
88,祖 安 奶 奶 ????,"878737综合得分
          ",52.1万,2107,快乐的台长,9354231,https://www.bilibili.com/video/av90870779
89,【朱一旦】145 线上办公的日常,"877927综合得分
          ",191.5万,3645,朱一旦的枯燥生活,437316738,https://www.bilibili.com/video/av90636031
90,我对不起广大猫友，我把猫养成了狗，我的错请一定原谅我,"876239综合得分
          ",72.8万,3714,闲鱼肉肉,32936225,https://www.bilibili.com/video/av89944955
91,【呜哝x奶果】彩虹节拍♬模仿雨刷的姿态（BDF2020）,"875472综合得分
          ",78.6万,1715,果哝双子,900171,https://www.bilibili.com/video/av90752985
92,万 物 皆 有 灵,"871186综合得分
          ",100.7万,1651,来自帝王星的问候,157370344,https://www.bilibili.com/video/av90517632
93,【沙雕配音】祖  安  厨  师,"868619综合得分
          ",52.2万,941,一头的秀发,1887401,https://www.bilibili.com/video/av89671243
94,【目子】我还是没舍得烧这双高跟鞋。。☆Thumbs Up☆,"862982综合得分
          ",55.9万,576,目目目目目子,15840422,https://www.bilibili.com/video/av90507494
95,B站最高画质，无人能撑过三十秒,"862177综合得分
          ",80.0万,1204,血大板丶,66000069,https://www.bilibili.com/video/av87098432
96,【 钉 钉 本 钉 ，还 敢 整 活 】,"858368综合得分
          ",61.6万,2483,愤怒的木板房,245756241,https://www.bilibili.com/video/av90175744
97,疫情时期的海外华人到底经历了什么？｜新冠肺炎,"853796综合得分
          ",41.5万,9839,歪果仁研究协会,32820037,https://www.bilibili.com/video/av90222016
98,黑头10分钟内消失方法！韩国欧尼的秘方！,"846972综合得分
          ",25.0万,525,安玄真,412505416,https://www.bilibili.com/video/av88637703
99,史上最骚魔鬼套路“上单渣女”教你如何让对手气急败坏。,"844145综合得分
          ",62.2万,2702,守护茶茶,37946996,https://www.bilibili.com/video/av90504093
100,这款被4399下架的游戏就TM离谱！,"843011综合得分
          ",105.2万,1.5万,小C6,19584552,https://www.bilibili.com/video/av90786975
