大众 迈腾 2015款 改款 1.8TSI 豪华型,2016-09,1.8T,3.43万公里,自动,¥13.50万
宝马X1 2015款 sDrive18i 时尚晋级版,2017-03,2.0T,11.33万公里,自动,¥14.70万
WEY VV7 2017款 2.0T 旗舰型,2018-09,2.0T,1.37万公里,自动,¥12.73万
大众 迈腾 2012款 2.0TSI 尊贵型,2013-12,2.0T,10.45万公里,自动,¥10.79万
大众 途观 2015款 1.8TSI 自动两驱豪华型,2015-09,1.8T,4.93万公里,自动,¥13.38万
大众 帕萨特 2015款 1.8TSI DSG尊荣版,2016-02,1.8T,4.02万公里,自动,¥11.91万
大众 途观 2016款 300TSI 自动两驱风尚版,2016-12,1.8T,3.2万公里,自动,¥12.84万
大众 途观 2015款 1.8TSI 自动两驱豪华型,2015-07,1.8T,6.49万公里,自动,¥11.82万
大众 途观 2016款 300TSI 自动两驱风尚版,2016-10,1.8T,6.01万公里,自动,¥12.00万
奥迪A4L 2016款 35 TFSI 典藏版 S line舒适型,2015-12,2.0T,6万公里,自动,¥17.21万
奔驰GLA级 2016款 GLA 200 动感型,2016-12,1.6T,4.25万公里,自动,¥16.65万
宝马3系 2016款 320Li 时尚型,2016-04,2.0T,3.97万公里,自动,¥20.28万
日产 轩逸 2016款 1.6XL  CVT尊享版,2020-01,1.6L,0.01万公里,自动,¥10.79万
奥迪Q5 2016款 40 TFSI 进取型,2016-09,2.0T,5.55万公里,自动,¥22.21万
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2017-11,1.6L,1.18万公里,自动,¥7.54万
凯迪拉克ATS-L 2016款 28T 技术型,2016-11,2.0T,4.07万公里,自动,¥14.70万
别克 昂科威 2016款 20T 两驱精英型,2017-01,1.5T,3.1万公里,自动,¥14.87万
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,2016-07,2.0T,2.19万公里,自动,¥25.65万
宝马3系 2014款 320i 进取型,2014-06,2.0T,5.68万公里,自动,¥15.35万
奔驰C级 2015款 C 180 L,2014-12,1.6T,4.88万公里,自动,¥19.07万
斯柯达 晶锐 2017款 1.4L 自动车享版,2019-11,1.4L,0.01万公里,自动,¥6.87万
别克 昂科威 2016款 20T 两驱精英型,2016-11,1.5T,6.29万公里,自动,¥12.28万
大众 速腾 2015款 230TSI 自动舒适型,2016-03,1.4T,4.29万公里,自动,¥9.03万
别克 昂科威 2015款 20T 两驱精英型,2015-06,1.5T,4.17万公里,自动,¥12.00万
奥迪A6L 2014款 TFSI 标准型,2016-03,2.0T,5.1万公里,自动,¥23.14万
别克 昂科威 2016款 20T 两驱精英型,2016-05,1.5T,7.25万公里,自动,¥11.72万
奔驰GLA级 2015款 GLA 260 4MATIC 运动型,2017-05,2.0T,8.48万公里,自动,¥20.28万
宝马5系 2011款 523Li 豪华型,2011-08,2.5L,14.87万公里,自动,¥15.25万
大众 高尔夫 2015款 1.6L 自动舒适型,2015-01,1.6L,4.48万公里,自动,¥7.70万
奔驰GLC级 2016款 GLC 200 4MATIC,2016-08,2.0T,7.64万公里,自动,¥27.72万
大众 速腾 2015款 1.6L 自动舒适型,2016-07,1.6L,2.78万公里,自动,¥8.56万
大众 捷达 2015款 质惠版 1.6L 手动时尚型,2016-09,1.6L,1.54万公里,手动,¥5.01万
大众 帕萨特 2014款 1.8TSI DSG尊荣版,2015-04,1.8T,7.35万公里,自动,¥9.66万
日产 楼兰 2015款 2.5 S/C HEV XL 两驱混动尊雅版,2017-05,2.5T,6.2万公里,自动,¥18.42万
大众 凌渡 2015款 230TSI DSG风尚版,2015-05,1.4T,7.32万公里,自动,¥8.70万
大众 速腾 2017款 230TSI 自动舒适型,2017-07,1.4T,3.05万公里,自动,¥9.75万
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,2016-04,2.0T,6.82万公里,自动,¥24.84万
丰田 汉兰达 2015款 2.0T 两驱豪华版 7座,2016-09,2.0T,7.8万公里,自动,¥24.54万
路虎 揽胜极光 2015款 2.0T 五门智耀版,2016-01,2.0T,8.9万公里,自动,¥19.25万
大众 高尔夫 2015款 1.6L 自动舒适型,2015-04,1.6L,4.45万公里,自动,¥7.43万
大众 宝来 2016款 1.6L 自动舒适型,2016-07,1.6L,5.88万公里,自动,¥7.69万
大众 朗逸 2015款 1.6L 自动风尚版,2018-02,1.6L,2.78万公里,自动,¥7.51万
大众 桑塔纳 2015款 1.6L 手动风尚版,2016-01,1.6L,3.57万公里,手动,¥5.08万
大众 桑塔纳 2015款 1.4L 手动风尚版,2017-08,1.4L,3.57万公里,手动,¥4.42万
宝马5系 2014款 520Li 典雅型,2014-03,2.0T,4.36万公里,自动,¥22.21万
大众 桑塔纳 2015款 1.6L 手动风尚版,2016-10,1.6L,4.14万公里,手动,¥4.56万
奔驰GLK级 2013款 GLK 300 4MATIC 动感天窗型,2014-01,3.0L,10.92万公里,自动,¥18.60万
本田XR-V 2015款 1.8L EXi  CVT舒适版,2016-12,1.8L,4.33万公里,自动,¥10.87万
本田XR-V 2015款 1.8L EXi  CVT舒适版,2016-01,1.8L,7.38万公里,自动,¥10.87万
本田 飞度 2020款 1.5L CVT舒适版,2020-01,1.5L,0.01万公里,自动,¥8.09万
大众 捷达 2015款 质惠版 1.6L 自动时尚型,2016-06,1.6L,6.56万公里,自动,¥5.16万
宝马5系 2013款 525Li 领先型,2013-03,2.0T,13.71万公里,自动,¥19.53万
斯柯达 昕锐 2016款 1.6L 自动前行版,2019-01,1.6L,2.35万公里,自动,¥5.94万
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2017-01,1.6L,3.76万公里,自动,¥6.87万
大众 捷达 2015款 质惠版 1.4L 手动时尚型,2016-01,1.4L,9万公里,手动,¥4.64万
雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座,2016-11,2.4L,5.15万公里,自动,¥9.64万
